Topics,Alpha,Beta,Coherence
10,symmetric,0.1,0.31432044693141636
10,symmetric,0.5,0.30082413343344927
10,symmetric,1.5,0.3205432936958818
10,symmetric,10,0.22884644465917212
10,symmetric,symmetric,0.3110714844811388
10,asymmetric,0.05,0.3183843167916958
10,asymmetric,0.1,0.3066035648420494
10,asymmetric,0.5,0.31412977655531227
10,asymmetric,1.5,0.2870606219330022
10,asymmetric,10,0.2535739390948314
10,asymmetric,symmetric,0.28297138920852444
11,0.05,0.05,0.3254832811973756
11,0.05,0.1,0.2890375643730806
11,0.05,0.5,0.2918444888345137
11,0.05,1.5,0.30606256889452343
11,0.05,10,0.2538708232151055
11,0.05,symmetric,0.2845390137766121
11,0.1,0.05,0.3369779881931569
11,0.1,0.1,0.31372177902784837
11,0.1,0.5,0.2855259763394233
11,0.1,1.5,0.3111303494727704
11,0.1,10,0.23662556249545477
11,0.1,symmetric,0.30495836033823137
11,0.5,0.05,0.3143322725616372
11,0.5,0.1,0.30504582363602667
11,0.5,0.5,0.29922086485023625
11,0.5,1.5,0.2718579072554576
11,0.5,10,0.245690587379512
11,0.5,symmetric,0.30549117821645794
11,1.5,0.05,0.30817474217608615
11,1.5,0.1,0.31959736823547275
11,1.5,0.5,0.3526548453926581
11,1.5,1.5,0.3237727230825256
11,1.5,10,0.2690790371802248
11,1.5,symmetric,0.3045770714942461
11,10,0.05,0.22006562603541688
11,10,0.1,0.22306329033230493
11,10,0.5,0.2159075012257749
11,10,1.5,0.23189789494619548
11,10,10,0.22639501907638673
11,10,symmetric,0.2139837307410673
11,symmetric,0.05,0.32160900275983506
11,symmetric,0.1,0.2970388587955083
11,symmetric,0.5,0.28749970437073835
11,symmetric,1.5,0.3160609012596029
11,symmetric,10,0.23437773055057862
11,symmetric,symmetric,0.30022603436452305
11,asymmetric,0.05,0.3137637234466609
11,asymmetric,0.1,0.30148291568567126
11,asymmetric,0.5,0.29750526530970656
11,asymmetric,1.5,0.29080565551140436
11,asymmetric,10,0.25311916338722973
11,asymmetric,symmetric,0.2983037174912926
