Topics,Alpha,Beta,Coherence
6,0.61,symmetric,0.3229909065047319
6,0.9099999999999999,0.01,0.3360133735993139
6,0.9099999999999999,0.31,0.36577024348548975
6,0.9099999999999999,0.61,0.344484195369341
6,0.9099999999999999,0.9099999999999999,0.3707895111050758
6,0.9099999999999999,symmetric,0.31129009019158604
6,symmetric,0.01,0.3484627682521207
6,symmetric,0.31,0.36024285623986635
6,symmetric,0.61,0.4191611652568592
6,symmetric,0.9099999999999999,0.42361003475513725
6,symmetric,symmetric,0.3438773066467418
6,asymmetric,0.01,0.34512391943904924
6,asymmetric,0.31,0.40156268873813433
6,asymmetric,0.61,0.3935065203269186
6,asymmetric,0.9099999999999999,0.3578540537774357
6,asymmetric,symmetric,0.3587573165534803
7,0.01,0.01,0.3199219999402851
7,0.01,0.31,0.34558706999205624
7,0.01,0.61,0.35284989900917774
7,0.01,0.9099999999999999,0.3755524170552592
7,0.01,symmetric,0.3304949250295192
7,0.31,0.01,0.3534702215375513
7,0.31,0.31,0.3816481898113143
7,0.31,0.61,0.40037773265429377
7,0.31,0.9099999999999999,0.4162164640508249
7,0.31,symmetric,0.3516433013713113
7,0.61,0.01,0.33972073458794877
7,0.61,0.31,0.31418634172294796
7,0.61,0.61,0.37125508384840783
7,0.61,0.9099999999999999,0.3490312665947514
7,0.61,symmetric,0.321355226571808
7,0.9099999999999999,0.01,0.38046390244628736
7,0.9099999999999999,0.31,0.34641236716860074
7,0.9099999999999999,0.61,0.32765216042040374
7,0.9099999999999999,0.9099999999999999,0.3680163555705791
7,0.9099999999999999,symmetric,0.33084778190598235
7,symmetric,0.01,0.32976426524561664
7,symmetric,0.31,0.3721867241892312
7,symmetric,0.61,0.37807293197021463
7,symmetric,0.9099999999999999,0.3784517339785492
7,symmetric,symmetric,0.31801667289042995
7,asymmetric,0.01,0.3136360923881167
7,asymmetric,0.31,0.35703776429190975
7,asymmetric,0.61,0.37221393016883286
7,asymmetric,0.9099999999999999,0.34210266561279346
7,asymmetric,symmetric,0.329884800523799
8,0.01,0.01,0.31996246705502973
8,0.01,0.31,0.35478887459028985
8,0.01,0.61,0.3599396518550624
8,0.01,0.9099999999999999,0.3649606659243963
8,0.01,symmetric,0.3218320014024917
8,0.31,0.01,0.3550819080604323
8,0.31,0.31,0.3817872707666501
8,0.31,0.61,0.3754474328011299
8,0.31,0.9099999999999999,0.3908499629944382
8,0.31,symmetric,0.34433771789147233
8,0.61,0.01,0.3435353045949805
8,0.61,0.31,0.3532541863541795
8,0.61,0.61,0.3695670074289362
8,0.61,0.9099999999999999,0.3761670380379511
8,0.61,symmetric,0.2996235682296039
8,0.9099999999999999,0.01,0.34627262510125056
8,0.9099999999999999,0.31,0.32101215871002803
8,0.9099999999999999,0.61,0.3421488302166348
8,0.9099999999999999,0.9099999999999999,0.32695516865853425
8,0.9099999999999999,symmetric,0.3203526401329143
8,symmetric,0.01,0.32859105421879764
8,symmetric,0.31,0.3292385561571707
8,symmetric,0.61,0.3730768734320935
8,symmetric,0.9099999999999999,0.37591848845669035
8,symmetric,symmetric,0.32221662310618565
8,asymmetric,0.01,0.2954452872827994
8,asymmetric,0.31,0.32697386099618586
8,asymmetric,0.61,0.46826673475808184
8,asymmetric,0.9099999999999999,0.3046177468712311
8,asymmetric,symmetric,0.29928323206273194
9,0.01,0.01,0.3300451274329423
9,0.01,0.31,0.4059742200726333
9,0.01,0.61,0.4052188215933902
9,0.01,0.9099999999999999,0.3589131646765996
9,0.01,symmetric,0.38245655304834886
9,0.31,0.01,0.34517309112341876
9,0.31,0.31,0.39153288978459533
9,0.31,0.61,0.35351576090552145
9,0.31,0.9099999999999999,0.3679188039285517
9,0.31,symmetric,0.34661489228643694
9,0.61,0.01,0.35601691381266776
9,0.61,0.31,0.36080610449922873
9,0.61,0.61,0.35107579323062965
9,0.61,0.9099999999999999,0.37260471692669384
9,0.61,symmetric,0.3487302514803631
9,0.9099999999999999,0.01,0.34345147657941105
9,0.9099999999999999,0.31,0.3673357846968806
9,0.9099999999999999,0.61,0.3275504519525438
9,0.9099999999999999,0.9099999999999999,0.33757275376575785
9,0.9099999999999999,symmetric,0.3624430068786424
9,symmetric,0.01,0.312053384799793
9,symmetric,0.31,0.3239360932059288
9,symmetric,0.61,0.3333154475317147
9,symmetric,0.9099999999999999,0.4021761625191235
9,symmetric,symmetric,0.3195834921528973
9,asymmetric,0.01,0.32113756095712137
