Topics,Alpha,Beta,Coherence
6,0.1,0.1,0.33539482920996583
6,0.1,0.5,0.29582533259499905
6,0.1,1.5,0.28829915420239677
6,0.1,10,0.2698385886977232
6,0.1,symmetric,0.3199048291976245
6,0.5,0.05,0.3536349692205079
6,0.5,0.1,0.34350834394028334
6,0.5,0.5,0.3256195941134574
6,0.5,1.5,0.3308493409646057
6,0.5,10,0.4610504519120923
6,0.5,symmetric,0.318343648249024
6,1.5,0.05,0.30905983140991544
6,1.5,0.1,0.32270053324022685
6,1.5,0.5,0.34729362489943844
6,1.5,1.5,0.35560251419650446
6,1.5,10,0.32165207715404437
6,1.5,symmetric,0.3266139326295884
6,10,0.05,0.26076789896591773
6,10,0.1,0.2637766096954688
6,10,0.5,0.2446686516889501
6,10,1.5,0.19409411665516121
6,10,10,0.23892295945115224
6,10,symmetric,0.24662473084538653
6,symmetric,0.05,0.35597488687564915
6,symmetric,0.1,0.3293621458299831
6,symmetric,0.5,0.2882697560318684
6,symmetric,1.5,0.2975402539443727
6,symmetric,10,0.49841980090155014
6,symmetric,symmetric,0.345465061553877
6,asymmetric,0.05,0.37493595235679905
6,asymmetric,0.1,0.3556194759749322
6,asymmetric,0.5,0.34869736384105043
6,asymmetric,1.5,0.39658966262114737
6,asymmetric,10,0.5232559229003357
6,asymmetric,symmetric,0.37234653125280087
7,0.05,0.05,0.29675801796168483
7,0.05,0.1,0.3270169321992094
7,0.05,0.5,0.3116932094782604
7,0.05,1.5,0.3294335911257251
7,0.05,10,0.5495733054791592
7,0.05,symmetric,0.3160749473795906
7,0.1,0.05,0.309433943589212
7,0.1,0.1,0.34732752743787243
7,0.1,0.5,0.31102875673807945
7,0.1,1.5,0.3413735364363934
7,0.1,10,0.5309146126445597
7,0.1,symmetric,0.31627322394181556
7,0.5,0.05,0.33290857220335174
7,0.5,0.1,0.3502921888922809
7,0.5,0.5,0.32559763514098083
7,0.5,1.5,0.3075100307067572
7,0.5,10,0.5010127316965022
7,0.5,symmetric,0.32362449056052356
7,1.5,0.05,0.3288708997087012
7,1.5,0.1,0.33521838211919236
7,1.5,0.5,0.3217098227678952
7,1.5,1.5,0.3409404891251765
7,1.5,10,0.38480593722490564
7,1.5,symmetric,0.29647731140022
7,10,0.05,0.24844931515946714
7,10,0.1,0.2915635336114791
7,10,0.5,0.22298151828044355
7,10,1.5,0.1964466849244643
7,10,10,0.24987259657786204
7,10,symmetric,0.21393846014197423
7,symmetric,0.05,0.32120545279587703
7,symmetric,0.1,0.30136035273978296
7,symmetric,0.5,0.2968882232706653
7,symmetric,1.5,0.3245350228429701
7,symmetric,10,0.4959260381946673
7,symmetric,symmetric,0.30607805634244306
7,asymmetric,0.05,0.35833079890690883
7,asymmetric,0.1,0.35490082859463634
7,asymmetric,0.5,0.323970181589353
7,asymmetric,1.5,0.4649201096874357
7,asymmetric,10,0.4608169769502398
7,asymmetric,symmetric,0.3835071582417023
8,0.05,0.05,0.33683986569245944
8,0.05,0.1,0.3424270435710721
8,0.05,0.5,0.3196650253363993
8,0.05,1.5,0.33310595347394023
8,0.05,10,0.3784323278195868
8,0.05,symmetric,0.32727954247848534
8,0.1,0.05,0.32449791845767006
8,0.1,0.1,0.32152319406628593
8,0.1,0.5,0.31414110142578433
8,0.1,1.5,0.33253716775648445
8,0.1,10,0.3954627040274471
8,0.1,symmetric,0.3435834514246048
8,0.5,0.05,0.2889538457552553
8,0.5,0.1,0.33920303162194043
8,0.5,0.5,0.3324073443864366
8,0.5,1.5,0.3511440342022214
8,0.5,10,0.5180613219163874
8,0.5,symmetric,0.3406079751948016
8,1.5,0.05,0.32507426353033136
8,1.5,0.1,0.31236247854211346
8,1.5,0.5,0.3364996023043947
8,1.5,1.5,0.3713079269861167
8,1.5,10,0.43701170761876484
8,1.5,symmetric,0.3211563371944952
8,10,0.05,0.1946058568471426
8,10,0.1,0.24211335504585596
8,10,0.5,0.23780641084418042
8,10,1.5,0.23371912915959983
8,10,10,0.24732837796601742
8,10,symmetric,0.22463304529134315
8,symmetric,0.05,0.32596201137693975
8,symmetric,0.1,0.33051287355305936
8,symmetric,0.5,0.30341306018418135
8,symmetric,1.5,0.41816664550310034
8,symmetric,10,0.3395134439682477
8,symmetric,symmetric,0.3159948940362597
8,asymmetric,0.05,0.3753330668938808
8,asymmetric,0.1,0.37742941785091544
8,asymmetric,0.5,0.33754913605534526
8,asymmetric,1.5,0.333742249052279
8,asymmetric,10,0.43206319792456094
8,asymmetric,symmetric,0.3664246178161903
9,0.05,0.05,0.33439263655539114
9,0.05,0.1,0.3287408556502764
9,0.05,0.5,0.31122488942360643
9,0.05,1.5,0.47616384784199667
9,0.05,10,0.5802158515259561
9,0.05,symmetric,0.33566824760815095
9,0.1,0.05,0.34006195480412754
9,0.1,0.1,0.35125838778181767
9,0.1,0.5,0.3129087474531913
9,0.1,1.5,0.448838481633703
9,0.1,10,0.5737183141186164
9,0.1,symmetric,0.3680221494051341
9,0.5,0.05,0.3716649053954625
9,0.5,0.1,0.3497430350548971
9,0.5,0.5,0.32926556152201625
9,0.5,1.5,0.34058844890763634
9,0.5,10,0.5123647042246493
9,0.5,symmetric,0.3553567086943475
9,1.5,0.05,0.33298039316097083
9,1.5,0.1,0.30626071783654646
9,1.5,0.5,0.3300993036770412
9,1.5,1.5,0.3605547718073398
9,1.5,10,0.38606451621004156
9,1.5,symmetric,0.2978748182679833
9,10,0.05,0.20589314226762886
9,10,0.1,0.1777265552982326
9,10,0.5,0.19771017768292473
9,10,1.5,0.22002188819181664
9,10,10,0.24732837796601745
9,10,symmetric,0.221634707873026
9,symmetric,0.05,0.33803632472519707
9,symmetric,0.1,0.3415232309968704
9,symmetric,0.5,0.3568709979528861
